Date,Close price,Revenue,Net income,D/E Ratio,ROIC
1/16/2018,68.754997,1440.00 ,423.00 ,2.42,0.24
1/17/2018,69.125,1440.00 ,423.00 ,2.42,0.24
1/18/2018,68.970001,1440.00 ,423.00 ,2.42,0.24
1/19/2018,69.055,1440.00 ,423.00 ,2.42,0.24
1/22/2018,70.095001,1440.00 ,423.00 ,2.42,0.24
1/23/2018,70.195,1440.00 ,423.00 ,2.42,0.24
1/24/2018,70.07,1440.00 ,423.00 ,2.42,0.24
1/25/2018,70.400002,1440.00 ,423.00 ,2.42,0.24
1/26/2018,71.290001,1440.00 ,423.00 ,2.42,0.24
1/29/2018,71.514999,1440.00 ,423.00 ,2.42,0.24
1/30/2018,71.269997,1440.00 ,423.00 ,2.42,0.24
1/31/2018,70.419998,1440.00 ,423.00 ,2.42,0.24
2/1/2018,70.050003,1440.00 ,423.00 ,2.42,0.24
2/2/2018,68.775002,1440.00 ,423.00 ,2.42,0.24
2/5/2018,65.055,1440.00 ,423.00 ,2.42,0.24
2/6/2018,65.375,1440.00 ,423.00 ,2.42,0.24
2/7/2018,64.584999,1440.00 ,423.00 ,2.42,0.24
2/8/2018,66.525002,1440.00 ,423.00 ,2.42,0.24
2/9/2018,68.730003,1440.00 ,423.00 ,2.42,0.24
2/12/2018,69.32,1440.00 ,423.00 ,2.42,0.24
2/13/2018,69.514999,1440.00 ,423.00 ,2.42,0.24
2/14/2018,69.199997,1440.00 ,423.00 ,2.42,0.24
2/15/2018,70.224998,1440.00 ,423.00 ,2.42,0.24
2/16/2018,71.360001,1440.00 ,423.00 ,2.42,0.24
2/20/2018,70.855003,1440.00 ,423.00 ,2.42,0.24
2/21/2018,69.894997,1440.00 ,423.00 ,2.42,0.24
2/22/2018,71.055,1440.00 ,423.00 ,2.42,0.24
2/23/2018,73.095001,1440.00 ,423.00 ,2.42,0.24
2/26/2018,72.68,1440.00 ,423.00 ,2.42,0.24
2/27/2018,72.105003,1440.00 ,423.00 ,2.42,0.24
2/28/2018,71.695,1440.00 ,423.00 ,2.42,0.24
3/1/2018,70.934998,1440.00 ,423.00 ,2.42,0.24
3/2/2018,71.989998,1440.00 ,423.00 ,2.42,0.24
3/5/2018,72.464996,1440.00 ,423.00 ,2.42,0.24
3/6/2018,72.110001,1440.00 ,423.00 ,2.42,0.24
3/7/2018,72.529999,1440.00 ,423.00 ,2.42,0.24
3/8/2018,73.050003,1440.00 ,423.00 ,2.42,0.24
3/9/2018,74.114998,1440.00 ,423.00 ,2.42,0.24
3/12/2018,73.82,1440.00 ,423.00 ,2.42,0.24
3/13/2018,73.75,1440.00 ,423.00 ,2.42,0.24
3/14/2018,73.794998,1440.00 ,423.00 ,2.42,0.24
3/15/2018,73.834999,1440.00 ,423.00 ,2.42,0.24
3/16/2018,74.220001,1440.00 ,423.00 ,2.42,0.24
3/19/2018,73.620003,1440.00 ,423.00 ,2.42,0.24
3/20/2018,73.459999,1440.00 ,423.00 ,2.42,0.24
3/21/2018,73.169998,1440.00 ,423.00 ,2.42,0.24
3/22/2018,71.339996,1440.00 ,423.00 ,2.42,0.24
3/23/2018,70.010002,1440.00 ,423.00 ,2.42,0.24
3/26/2018,71.279999,1440.00 ,423.00 ,2.42,0.24
3/27/2018,70.279999,1440.00 ,423.00 ,2.42,0.24
3/28/2018,70.739998,1440.00 ,423.00 ,2.42,0.24
3/29/2018,71.309998,1440.00 ,423.00 ,2.42,0.24
4/2/2018,70.540001,1420.00 ,251.00 ,2.59,0.23
4/3/2018,70.970001,1420.00 ,251.00 ,2.59,0.23
4/4/2018,71.129997,1420.00 ,251.00 ,2.59,0.23
4/5/2018,71.239998,1420.00 ,251.00 ,2.59,0.23
4/6/2018,69.839996,1420.00 ,251.00 ,2.59,0.23
4/9/2018,70.129997,1420.00 ,251.00 ,2.59,0.23
4/10/2018,71.129997,1420.00 ,251.00 ,2.59,0.23
4/11/2018,70.849998,1420.00 ,251.00 ,2.59,0.23
4/12/2018,70.980003,1420.00 ,251.00 ,2.59,0.23
4/13/2018,70.900002,1420.00 ,251.00 ,2.59,0.23
4/16/2018,71.589996,1420.00 ,251.00 ,2.59,0.23
4/17/2018,72.290001,1420.00 ,251.00 ,2.59,0.23
4/18/2018,72.120003,1420.00 ,251.00 ,2.59,0.23
4/19/2018,71.75,1420.00 ,251.00 ,2.59,0.23
4/20/2018,71.339996,1420.00 ,251.00 ,2.59,0.23
4/23/2018,71.089996,1420.00 ,251.00 ,2.59,0.23
4/24/2018,70.900002,1420.00 ,251.00 ,2.59,0.23
4/25/2018,70.160004,1420.00 ,251.00 ,2.59,0.23
4/26/2018,71.32,1420.00 ,251.00 ,2.59,0.23
4/27/2018,71.470001,1420.00 ,251.00 ,2.59,0.23
4/30/2018,70.860001,1420.00 ,251.00 ,2.59,0.23
5/1/2018,71.629997,1420.00 ,251.00 ,2.59,0.23
5/2/2018,69.029999,1420.00 ,251.00 ,2.59,0.23
5/3/2018,68.989998,1420.00 ,251.00 ,2.59,0.23
5/4/2018,69.720001,1420.00 ,251.00 ,2.59,0.23
5/7/2018,70.410004,1420.00 ,251.00 ,2.59,0.23
5/8/2018,70.410004,1420.00 ,251.00 ,2.59,0.23
5/9/2018,71.489998,1420.00 ,251.00 ,2.59,0.23
5/10/2018,72.410004,1420.00 ,251.00 ,2.59,0.23
5/11/2018,72.790001,1420.00 ,251.00 ,2.59,0.23
5/14/2018,72.419998,1420.00 ,251.00 ,2.59,0.23
5/15/2018,72.089996,1420.00 ,251.00 ,2.59,0.23
5/16/2018,72.279999,1420.00 ,251.00 ,2.59,0.23
5/17/2018,72.5,1420.00 ,251.00 ,2.59,0.23
5/18/2018,72.980003,1420.00 ,251.00 ,2.59,0.23
5/21/2018,73.25,1420.00 ,251.00 ,2.59,0.23
5/22/2018,71.660004,1420.00 ,251.00 ,2.59,0.23
5/23/2018,71.870003,1420.00 ,251.00 ,2.59,0.23
5/24/2018,71.68,1420.00 ,251.00 ,2.59,0.23
5/25/2018,71.769997,1420.00 ,251.00 ,2.59,0.23
5/29/2018,71.629997,1420.00 ,251.00 ,2.59,0.23
5/30/2018,72.75,1420.00 ,251.00 ,2.59,0.23
5/31/2018,72.599998,1420.00 ,251.00 ,2.59,0.23
6/1/2018,73.330002,1420.00 ,251.00 ,2.59,0.23
6/4/2018,74.260002,1420.00 ,251.00 ,2.59,0.23
6/5/2018,74.68,1420.00 ,251.00 ,2.59,0.23
6/6/2018,76.059998,1420.00 ,251.00 ,2.59,0.23
6/7/2018,75.07,1420.00 ,251.00 ,2.59,0.23
6/8/2018,75.470001,1420.00 ,251.00 ,2.59,0.23
6/11/2018,75.129997,1420.00 ,251.00 ,2.59,0.23
6/12/2018,75.849998,1420.00 ,251.00 ,2.59,0.23
6/13/2018,75.849998,1420.00 ,251.00 ,2.59,0.23
6/14/2018,76.43,1420.00 ,251.00 ,2.59,0.23
6/15/2018,76.489998,1420.00 ,251.00 ,2.59,0.23
6/18/2018,76.220001,1420.00 ,251.00 ,2.59,0.23
6/19/2018,76.160004,1420.00 ,251.00 ,2.59,0.23
6/20/2018,76.209999,1420.00 ,251.00 ,2.59,0.23
6/21/2018,75.779999,1420.00 ,251.00 ,2.59,0.23
6/22/2018,75.57,1420.00 ,251.00 ,2.59,0.23
6/25/2018,74.379997,1420.00 ,251.00 ,2.59,0.23
6/26/2018,74.18,1420.00 ,251.00 ,2.59,0.23
6/27/2018,73.260002,1420.00 ,251.00 ,2.59,0.23
6/28/2018,73.93,1420.00 ,251.00 ,2.59,0.23
6/29/2018,74.089996,1420.00 ,251.00 ,2.59,0.23
7/2/2018,74.739998,1412.00 ,227.00 ,3.04,0.23
7/3/2018,74.419998,1412.00 ,227.00 ,3.04,0.23
7/5/2018,75.029999,1412.00 ,227.00 ,3.04,0.23
7/6/2018,75.489998,1412.00 ,227.00 ,3.04,0.23
7/9/2018,75.82,1412.00 ,227.00 ,3.04,0.23
7/10/2018,75.959999,1412.00 ,227.00 ,3.04,0.23
7/11/2018,76.459999,1412.00 ,227.00 ,3.04,0.23
7/12/2018,77.550003,1412.00 ,227.00 ,3.04,0.23
7/13/2018,77.449997,1412.00 ,227.00 ,3.04,0.23
7/16/2018,76.870003,1412.00 ,227.00 ,3.04,0.23
7/17/2018,77.150002,1412.00 ,227.00 ,3.04,0.23
7/18/2018,77.239998,1412.00 ,227.00 ,3.04,0.23
7/19/2018,77.43,1412.00 ,227.00 ,3.04,0.23
7/20/2018,77.349998,1412.00 ,227.00 ,3.04,0.23
7/23/2018,77.389999,1412.00 ,227.00 ,3.04,0.23
7/24/2018,77.18,1412.00 ,227.00 ,3.04,0.23
7/25/2018,77.610001,1412.00 ,227.00 ,3.04,0.23
7/26/2018,77.220001,1412.00 ,227.00 ,3.04,0.23
7/27/2018,76.120003,1412.00 ,227.00 ,3.04,0.23
7/30/2018,74.459999,1412.00 ,227.00 ,3.04,0.23
7/31/2018,75.480003,1412.00 ,227.00 ,3.04,0.23
8/1/2018,74.739998,1412.00 ,227.00 ,3.04,0.23
